song_id,title,artist,mood,year,valence,energy,youtube_id
55qSB7GmgzwgkC91vrIyrp,Handprint (feat. Amina Ya Heard) [Aeroplane Remix],Detroits Filthiest,Happy,2018,0.893,0.611,
55zck3jlMBQEAHnf6PRljL,American Dreams,From Indian Lakes,Happy,2016,0.735,0.823,
1YhS2P2FUBhbHLIFhbi3lr,Kung Fu Grip,Vinnie Moore,Happy,2019,0.839,0.936,
321xN4PkyAlaNYmszvTVjO,Wheel of Fortune,Jennifer Cuttings Ocean Orchestra,Happy,2017,0.926,0.663,
6nVuejGRkasDi6g8NWt9aZ,No Room for Love,Ina Forsman,Happy,2017,0.834,0.577,
3UwH7oeAYueDTdVpmVTHc0,C'est ton destin,Les Inconnus,Happy,2015,0.56,0.895,
3Oevx9kwpDeO3vZUYqhVNO,Biggie Freestyle,Stretch And Bobbito,Happy,2020,0.618,0.726,
41u5tkvkeG9svJ8PulfIB4,3.000,Blues Etílicos,Happy,2019,0.869,0.781,
1GIvCuDEDhSXuvjibL1qdN,Merengues Diferentes # 2: El Gallo / La Chica Fresa - En Vivo,Marimba Orquesta Hermanos Tistoj,Happy,2015,0.728,0.766,
0t4E542wTrxdq9ufYsLFje,Diamond Sun,Glass Tiger,Happy,2018,0.644,0.775,
3MggRBjuywRzekimTvrjOm,Lauren (feat. JAY1),Deno,Happy,2019,0.633,0.596,
3wQxUfquHLpgHoU6fo8Z50,No Scrubs,Weezer,Happy,2019,0.645,0.798,
1hPMjqL7OMP7g8mNPnze4C,Host Body,Chad VanGaalen,Happy,2017,0.775,0.88,
3JVFR6J85eB6eE9SboSBwv,Narcissistic Cannibal (feat. Skrillex & Kill the Noise) - Andre Giant Remix [Andre Giant Remix],Korn,Happy,2012,0.566,0.676,
2gK0bMTD1bjIC58S3gIS9z,Land of Sunshine,Bart Graft,Happy,2019,0.849,0.993,
1k9LPf9mhdVs18a5fd6GYG,Holding On (Letting Go),Another Lost Year,Happy,2016,0.606,0.872,
6boRfbwUxFSZG2Gml7eS7X,Unknown,MATCH,Happy,2017,0.821,0.756,
36Z5xP9cq6mHwC3Bf6zgE3,Когда она проходит мимо,Thomas Mraz,Happy,2017,0.753,0.774,
2l1iTVn5t6IBd2BtUsMGie,For Us,112,Happy,2020,0.611,0.686,
2JvWxgNhkLX5vspaP6nMbC,Seven Words,KAIS,Happy,2013,0.818,0.856,
0uduEoP9ElLWHFgrKgNl2d,Can't Tell No One,Pig Destroyer,Happy,2012,0.906,0.98,
1vZ965pVZOiUGMEZ3wmoSu,Mersey Like Wine,Badge Mack,Happy,2020,0.83,0.699,
0lZ0xzCrpYY06CJYjp7SZj,No Veneers (feat. Brenforprez),Mister CR,Happy,2020,0.572,0.63,
4Kuh9qHDRtbhgVv1Iofsjc,Popopop !! (Freestyle),Suprême NTM,Happy,2018,0.589,0.928,
6FERoo2xrkXp6Z5ZpAkGFg,Diving (Xlarve Dubmix R2),Xlarve,Happy,2012,0.745,0.915,
4hZ0t4NRzs9UAChO4ZgOFw,Hermosa Historia,Montez de Durango,Happy,2016,0.698,0.724,
7feGWADXk1mtYL8bzqc5ka,Dead Poets Make Me Smile,Bubblegum Lemonade,Happy,2013,0.88,0.659,
10yO1es1QSClcPreNbVq34,Shake It Break It,Peter Stampfel & The Ether Frolic Mob,Happy,2013,0.654,0.662,
4vOacY1arOuUoXGMyn1U8B,Troubled Times (ft. Mack Wilds),Torae,Happy,2016,0.677,0.955,
3Ev2e42PKYN7fDhfS6lsXo,Shine the Ladies,Rim Kwaku Obeng,Happy,2015,0.886,0.756,
66xzmiEJjvJg6M87pBXy2H,Whut - Hardfloor Remix,Psilodump,Happy,2013,0.948,0.928,
7feNblkR0A56vttsAGTyzK,Carmín (feat. Juan Luis Guerra),Romeo Santos,Happy,2017,0.753,0.675,
3jbt65qdKeXNhRjWVVXbcS,パラレルスペック - funky ver.,Gesu No Kiwami Otome,Happy,2015,0.695,0.958,
2Y4VSQOGlEwH6EJoRB5iZb,4 finger pressure point,Rahiem Supreme,Happy,2020,0.851,0.732,
49FDYiUzZPbWkGLt5lQDhW,Get To Love,Leeroy Stagger,Happy,2019,0.821,0.658,
0WbpxgoNyLCigRibC7GG8r,Kept In the Dark,Xentrix,Happy,2020,0.573,0.742,
0R7dGTYlLdMZTVsTJO2gO1,Nosediving Plane,Zula,Happy,2018,0.633,0.789,
