song_id,title,artist,mood,rating,youtube_id,mood_source
bw_0184,Kabhi Kabhi Aditi Zindagi,Rashid Ali,Neutral,5.0,HIbzXaBdwZw,keyword
bw_0185,Dil Gira Dafatan,Ash King,Neutral,5.0,5zU4zZpycTo,keyword
bw_0186,Phir Le Aaya Dil (Reprise),Arijit Singh,Neutral,4.88,XT_ANSoov00,keyword
bw_0187,Laal Ishq,Arijit Singh,Neutral,4.75,GEH3Aev0uME,keyword
bw_0188,Ae Dil Hai Mushkil (Tu Safar Mera),Arijit Singh,Neutral,4.67,vUCM_0evdQY,keyword
bw_0189,Khaali Hai Jo Tere Bina Main Woh Ghar Hoon Tera,Nikhita Gandhi,Neutral,4.67,xmz_8VX12U8,keyword
bw_0190,Binte Dil Misriya Mein,Arijit Singh,Neutral,4.67,1HVOB3-6YB0,keyword
bw_0191,Sapna Jahan Dastak Na De,Neeti Mohan,Neutral,4.6,lHJp_3g2MAI,keyword
bw_0192,Ishq Hua,Sonu Nigam,Neutral,4.5,Vl8zpQZ5Jc8,keyword
bw_0193,Tera Hone Laga Hoon,Atif Aslam,Neutral,4.5,useznoRhrWU,keyword
bw_0194,Yahi Meri Zindagi,Aditi Singh Sharma,Neutral,4.5,qpYNf1YLXQY,keyword
bw_0195,Pehli Baar Mohabbat Ki Hai,Mohit Chauhan,Neutral,4.5,zhMoztMJPwE,keyword
bw_0196,Zindagi Jaisi Tammanna Thi,Jagjit Singh,Neutral,4.5,PIBvQ5FXDts,keyword
bw_0197,Badtameez Dil Maane Na,Benny Dayal,Neutral,4.5,II2EO3Nw4m0,keyword
bw_0198,Mohabbat Buri Bimari - 1,Neeti Mohan,Neutral,4.5,U5tjrnXL6D8,keyword
bw_0199,Banno Tera Swagger Laage Sexy,Brijesh Shandilya,Neutral,4.5,Oju9kp8tLpY,keyword
bw_0200,Ishq Mein Hota Hai (Tun Tuna),Nooran Sisters,Neutral,4.5,bIV_vqtu4to,keyword
bw_0201,Safar Ka Hi Tha Main Safar Ka Raha,Arijit Singh,Neutral,4.5,xORB1S9YvP8,keyword
bw_0202,Dil Diyan Gallan,Atif Aslam,Neutral,4.5,JtnPpxe8K7c,keyword
bw_0203,Kalank Nahin Ishq Hai Kaajal Piya (Title Track),Arijit Singh,Neutral,4.5,wKuP5Hz30ws,keyword
bw_0204,Jo Mila Hai Tu Zindagi Khushmizaaj Hai,Arijit Singh,Neutral,4.5,aiPBhlRX5lc,keyword
bw_0205,Dil Bechara Friend Zone Ka Maara,A.R. Rahman,Neutral,4.5,PMCu0JtizCk,keyword
bw_0206,Tumhein Mohabbat Hai (Teri Aankhon Mein Jhaankne Wala),Arijit Singh,Neutral,4.5,NegGZIlgfNA,keyword
bw_0207,Par Yeh Dil Ka Mamla Hai Kya Karein,Ananya Birla,Neutral,4.5,ZNo82CX48cI,keyword
bw_0208,Love You Zindagi,Jasleen Kaur Royal,Neutral,4.4,bw7bVpI5VcM,keyword
bw_0209,O Aashiqa Tune Kya Dil Diya,Shashwat Singh,Neutral,4.4,m8NCfkX3Zb0,keyword
bw_0210,Phir Le Aaya Dil (Redux),Shafqat Amanat Ali,Neutral,4.33,pOnW2HytGEY,keyword
bw_0211,Gustakh Dil,Shilpa Rao,Neutral,4.33,67Oild5HJhc,keyword
bw_0212,Teri Chahat Ne Badla Mere Dil Ka Jugraafiya,Udit Narayan,Neutral,4.33,gRRMSF0nB0c,keyword
bw_0213,Maine Dil Se Kaha,KK,Neutral,4.25,pSpnF-li-OE,keyword
bw_0214,Dil To Bachcha Hai Ji,Rahat Fateh Ali Khan,Neutral,4.25,_TJZaE0FkKs,keyword
bw_0215,Phir Mohabbat Karne Chala Hai Tu,Mohd. Irfan,Neutral,4.25,TK7nSgwGSAQ,keyword
bw_0216,Har Kisi Ko Nahin Milta Yahan Pyar Zindagi Mein,Nikhil D'Souza,Neutral,4.25,xXTXuokXGDU,keyword
bw_0217,Yaadon Mein Jalte Rehna Tera Mera,Jonita Gandhi,Neutral,4.25,3D6p8QL3sJA,keyword
bw_0218,Kesariya Tera Ishq Hai Piya,Arijit Singh,Neutral,4.2,BddP6PYo2gs,keyword
bw_0219,Dil Ye Dua De,Udit Narayan,Neutral,4.0,dGwAPrlF180,keyword
bw_0220,Tera Surroor,Himesh Reshammiya,Neutral,4.0,CoRuihNeiOc,keyword
bw_0221,Javeda Zindagi (Tose Naina Laage),Shilpa Rao,Neutral,4.0,fXeIK4xbXgs,keyword
bw_0222,Mera Pehla Pehla Pyaar,KK,Neutral,4.0,i_pd19916CY,keyword
bw_0223,Piya Tu Ab To Aaja (Monica O My Darling),Asha Bhosle,Neutral,4.5,QiToFjVXHj4,acoustic
bw_0224,Don't Leave Me,Unknown Artist,Neutral,4.5,XBgfIRAisxw,acoustic
bw_0225,Pal Do Pal Ka Saath Humara,Mohammed Rafi,Neutral,4.33,bYmfFtHbLPs,acoustic
bw_0226,Yaara Seeli Seeli,Lata Mangeshkar,Neutral,4.33,I5PlRhFRkFU,acoustic
bw_0227,Hare Rama Hare Krishna (I Love You),Asha Bhosle,Neutral,4.25,YxDE7ptqruo,acoustic
bw_0228,Kanchi Re Kanchi Re,Lata Mangeshkar,Neutral,4.0,1GmwIgZfSsI,acoustic
bw_0229,Aaj Madhosh Hua Jaye Re,Lata Mangeshkar,Neutral,4.0,yiRW9f4r3K4,acoustic
