tmdb_id,imdb_id,title,year,rating,genres,overview,poster_path,mood
311,tt0087843,Once Upon a Time in America,1984,8.4,"Crime, Drama","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg,Neutral
73,tt0120586,American History X,1998,8.4,Drama,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg,Neutral
105,tt0088763,Back to the Future,1985,8.3,"Adventure, Comedy, Science Fiction","Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,Neutral
101,tt0110413,Léon: The Professional,1994,8.3,"Action, Crime, Drama","Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg,Neutral
274,tt0102926,The Silence of the Lambs,1991,8.3,"Crime, Drama, Thriller","Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,Neutral
207,tt0097165,Dead Poets Society,1989,8.3,Drama,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",/ai40gM7SUaGA6fthvsd87o8IQq4.jpg,Neutral
299534,tt4154796,Avengers: Endgame,2019,8.3,"Action, Adventure, Science Fiction","After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",/or06FN3Dka5tukK1e9sl16pB3iy.jpg,Neutral
299536,tt4154756,Avengers: Infinity War,2018,8.3,"Action, Adventure, Science Fiction","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,Neutral
696374,tt11316854,Gabriel's Inferno,2020,8.4,"Drama, Romance","An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",/oyG9TL7FcRP4EZ9Vid6uKzwdndz.jpg,Neutral
8587,tt0110357,The Lion King,1994,8.3,"Animation, Drama, Family","A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?",/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,Neutral
